date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:16	10364/10364	---M--	200	added ('OK')	font/woff	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600.woff	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600.woff	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:17	15548/15548	---M--	200	added ('OK')	font/ttf	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600.ttf	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600.ttf	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:17	51916/51916	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600.svg	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600.svg	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:18	8616/8616	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700.eot	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700.eot	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:18	8616/8616	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700.eot?	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700d41d.eot	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:19	7832/7832	---M--	200	added ('OK')	font/woff2	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700.woff2	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700.woff2	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:20	10304/10304	---M--	200	added ('OK')	font/woff	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700.woff	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700.woff	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:21	15388/15388	---M--	200	added ('OK')	font/ttf	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700.ttf	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700.ttf	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:22	51343/51343	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700.svg	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700.svg	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:22	10015/10015	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700italic.eot	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700italic.eot	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:23	10015/10015	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700italic.eot?	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700italicd41d.eot	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:23	9008/9008	---M--	200	added ('OK')	font/woff2	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700italic.woff2	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700italic.woff2	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:23	11748/11748	---M--	200	added ('OK')	font/woff	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700italic.woff	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700italic.woff	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:25	58032/58032	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700italic.svg	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700italic.svg	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:25	16884/16884	---M--	200	added ('OK')	font/ttf	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700italic.ttf	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-700italic.ttf	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:26	8626/8626	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-800.eot	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-800.eot	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:26	7808/7808	---M--	200	added ('OK')	font/woff2	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-800.woff2	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-800.woff2	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
